,teks,label,clean_teks
97,Bra nya kedodoran kak make ukuran gede yaa,yes,bra nya kedodoran kak pakai ukur yaa
98,Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi,no,cantik senang usaha buah hasil semangat ya mel moga pribadi
99,"mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan",yes,mbak sih merem melek mata kaya orang cacing
100,Semoga lancar terus usahanya mel,no,moga lancar usaha mel
101,Cantik banget kalo meldi muka natural kek gini,no,cantik meldi muka natural
102,Lu diem aja cantik mel kalo ga banyak gaya serius,no,diam cantik mel gaya serius
103,Kaku kek kanebo kering hahaha,yes,kaku kanebo kering hahaha
104,Semakin glowing say… natural kayak gini bagus tambahin prestasi nya ya say,no,glowing say natural bagus tambahin prestasi nya ya say
105,"Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya… auranya gak keliatan yg ada malah butek",yes,meldi emaknya buka klinik totok aura kayak anak totok ya aura butek
106,"Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh",yes,muka pasar mel pasar sapi noh
107,Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip,yes,maaf nyamain dugong
108,Iya lo kamu mirip monyet mel,yes,iya monyet mel
109,Bagusan pantat panci aing atuh anjir,yes,bagus pantat panci atuh anjir
110,"Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,",yes,ya muka muka badak muka beton malu
111,Kok mbak meldi sekarang tambah cantik ya rahasianya apa..,no,mbak meldi cantik ya rahasia
112,Lengannya gempal banget sih HAHA,yes,lengan gempal sih haha
113,Fix yang komen semua nyela,no,fix komen nyela
114,"Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya",no,ka gubris dipikirin syukur nikmat tuhan kasih kaka orang ka syukur nikmat
115,"Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener",yes,jari jari nya pas ngiklan makan ikan danau hambar jari jempol hawak
116,Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi,yes,disamain muka rosameldianti orang oi minta disamain babi
117,"Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan",no,bawah meldi tara kurang lebih
118,Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi,no,ka mel rendah orang syukur atas langit langit
119,Mukanya kalau gak dibantu kamera dekil dan kumel,yes,muka bantu kamera dekil mel
120,"Semua wanita cantik, jangan suka merasa lebih ah",no,wanita cantik suka ah
121,Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si?,yes,meldi kontrak endorse skincare ya muka jelek si
122,Gila Netizen pada sempurna ngehina orang terus,no,gila netizen sempurna hina orang
123,Semua dah pada ngembang… habis di berapa cowo meldi?... enak ya di otak atik,yes,kembang habis cowok meldi enak ya otak atik
124,Karena muka kayak elo pasaran dan murah…,yes,muka pasar murah
125,Muka buluk kepedean lagi.. muka udah tua,yes,muka buluk kepedean muka tua
126,Muka lu kaya tai wkwkwk,yes,muka kaya tai wkwkwk
127,Sakit jiwa ini upil gajah… Kasihan,yes,sakit jiwa upil gajah kasihan
128,Jelek macam buntut kuali hahaha,yes,jelek buntut kuali hahaha
129,Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up…,no,meldi kurus ya cantik pakai up
130,"Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya",no,moga semakinlebih akhlak etika
131,Mbak mell sehat dan sukses ya,no,mbak mell sehat sukses ya
132,Aamiin. Doa baik juga untuk Meldi,no,aamiin doa meldi
133,"Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin",no,selamat mbak moga pribadi amin
134,Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip,no,meldi cantik loh tinggal dibenerin akhlak adab sip
135,Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum,yes,ambil foto bagus mantap keren tinggal ambil arwah nya
136,Nggak ada cantik-cantik nya hahaha,yes,cantikcantik nya hahaha
137,"Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini",yes,kasihan editor sih nanggung dosa kayak ngeditnya offside
138,Lama lama mirip dewi persik ya,no,dewi persik ya
139,pada julid padahal kan meldi gak nyusahin kalian,no,julid meldi nyusahin
140,ini foto apa w masukin museum aja ya ga ada pantas2nya,yes,foto masukin museum ya pantas
141,Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana,yes,ngumpul bareng mami isa gembrot sana
142,Lagu lu ga ada yang laku ya mel??,yes,lagu laku ya mel
143,Lututnya masih hitam gosok maning biar tambah cling dan cantik,yes,lutut hitam gosok biar cling cantik
144,"Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya",no,suka heran warga suka ngehujat orang pahala dosa mah iya
145,Tambah cantik aja rosa meldianti,no,cantik rosa meldianti
146,"Jadi diri sendiri, jangan jadi ular apalagi dugong",yes,ular dugong
147,Saya kok suka ya sama mereka harmonis,no,suka ya harmonis
148,Cantik banget kalau pakai baju kayak gitu,no,cantik pakai baju
149,Jujur ya kamu kalo anteng ga buat masalah cantik mel,no,jujur ya anteng cantik mel
150,Cowoknya ga ada cakep cakepnya,yes,cowok cakap cakep
151,Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya,yes,foto tirus video wariorr muka donat bentuk
152,"Dari sekian banyak foto yang diposting, ini yang paling cantik",no,sekian foto diposting cantik
153,Artis abal-abal.. Muka putih tangan hitam… ager2 ATM nya udah isi berapa sekarang,yes,artis abalabal muka putih tangan hitam ager atm nya isi
154,Itu muka kayak penuh tekanan banget,yes,muka penuh tekan
155,@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2,yes,rosameldianti cowok wajah nya culun cupu om
156,Masyaallah cantik terlihat sopan dan anggun,no,masyaallah cantik sopan anggun
157,Kang ojek kali belang tangannya,yes,kang ojek kali belang tangan
158,Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin,no,senang lihat pasang cewenya hujat indonesia setia tani
159,Dia memutuskan menjadi tumbal apartment,yes,putus tumbal apartemen
160,"makin cantik mel, semangat dietnyaa",no,cantik mel semangat dietnyaa
161,Itu tangan apa paha haha….,yes,tangan paha haha
162,Mel disini kamu keliatan cakep,no,mel cakap
163,Mukanya kayak lagi ngeden pas boker,yes,muka ngeden pas boker
164,Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak… hahhaaa.. mimpi ketinggian..,yes,aduuh halu hhahaha lebay edit nyaa lemak lemak hahhaaa mimpi tinggi
165,"salfok sama kaki, tapi cantik banget asli",no,salfok kaki cantik asli
166,"@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut…",yes,dy buset cantik edit mbak coba asli buntel kentut
167,"atas bawah hitam putih, kek kopi luwak",yes,hitam putih kopi luwak
168,"Palsu badane diedit semua tu, aslinya dimana2 lemak",yes,palsu badane edit asli lemak
169,Udah dapat kontrak dari skincare ttp aja buluk mel,yes,kontrak skincare buluk mel
170,heran sama netizen klo gk suka jangan diliat aja,no,heran netizen suka
171,sukses selalu yah ka @rosameldianti_ semangat,no,sukses yah ka rosameldianti semangat
172,Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang,no,jujur suka meldi suka ngehujat orang
173,sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_,yes,sumpah asli muka lebar baskom loh mel rosameldianti
174,Berkarya teros meldi walo ga ada yg nuntun kamu.,no,karya meldi walo nuntun
175,"Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun",yes,astaghfirullah seram ya bun ular jelma makhluk halus ya bun
176,"Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.",no,heran cowok ngebully sabar meldi
177,Astaga… Ratu edit muka.. Sumpah seren kayak film setan2 gitu…..,yes,astaga ratu edit muka sumpah seren film setan
178,Matanya kayak katarak anjir AHAHAH,yes,mata katarak anjir ahahah
179,"Caption aja COPAS! Cantumin credit dong, dasar iblis",yes,caption copy paste cantumin credit dasar iblis
180,Unfoll aja daripada kalian dosa ngebully2 terus..,no,unfoll dosa ngebully
